No,Date,Open,Close,High,Low,Amount,Volume
891,1663998300,19107,19137.9,19164.7,19104,132.39995997,2534091.979642956
892,1663999200,19137.9,19088,19160.9,19075,91.38184094,1746017.740668153
893,1664000100,19088,19095.7,19096.7,19077.1,66.82306158,1275501.519510438
894,1664001000,19095.7,19092.4,19139,19057.4,95.82094522,1829647.424880029
895,1664001900,19092.4,19077.8,19105.1,19070.4,64.90706934,1239178.757058972
896,1664002800,19077.9,18949.1,19083,18928,285.97114353,5431314.641565139
897,1664003700,18949.1,19002.4,19023.5,18947.2,125.62162544,2384860.318161876
898,1664004600,19002.4,19006.8,19021.6,18977.4,102.06593988,1939778.24888718
899,1664005500,19006.7,18995.1,19014.6,18970.1,84.41917489,1603428.40107974
900,1664006400,18995.2,18962,19000,18944.9,110.3738478,2093734.808612292
901,1664007300,18960.2,18972.2,18999.1,18940.6,84.86397899,1610451.889651811
902,1664008200,18972.2,19031.1,19041.7,18959.7,134.68021126,2560399.255743532
903,1664009100,19033,19081.7,19083.2,19002.9,142.12119799,2705519.58936694
904,1664010000,19081.8,19073.3,19115.9,19064.8,132.87888434,2536520.443939672
905,1664010900,19073.2,19011.9,19073.3,18995,125.53552003,2390008.946865879
906,1664011800,19011.9,19020.3,19027.9,18965.5,97.17698826,1846373.423161747
907,1664012700,19020.2,19023.5,19042.4,19018.9,70.77521753,1346946.268634449
908,1664013600,19023.6,19014.7,19035.5,19010.4,97.12561079,1847475.500114201
909,1664014500,19014.7,19056.9,19065.7,19013.6,101.08078821,1924842.48690772
910,1664015400,19056.8,18995,19056.8,18978.9,98.4353936,1871469.552600304
911,1664016300,18995,19036.2,19036.9,18991.1,75.09437863,1428024.272984872
912,1664017200,19036.2,19016.2,19043.5,19016.2,52.3079888,995743.106668778
913,1664018100,19016.2,19071.4,19091.9,19004.7,159.96882122,3047145.498751853
914,1664019000,19070.1,19067.9,19093,19053.4,89.69556222,1710457.435508673
915,1664019900,19067.9,19053.7,19082.5,19045.5,96.84411829,1845760.512190127
916,1664020800,19052.4,19081.3,19089.4,19052.3,84.92027499,1619878.156302207
917,1664021700,19081.3,19072.5,19086.1,19062.3,73.62515052,1404040.066784373
918,1664022600,19072.6,19183,19191.9,19072.5,287.36273997,5500329.402102325
919,1664023500,19183.1,19155.9,19198.6,19130.8,182.46458428,3495880.356158066
920,1664024400,19155.8,19181.1,19224.9,19146,220.7451072,4236433.589199969
921,1664025300,19181.1,19136.1,19186.1,19115.8,112.8489093,2160284.961107528
922,1664026200,19136,19156.7,19166.8,19113,79.60616127,1523306.774139861
923,1664027100,19156.8,19116.6,19174.7,19112,90.037845,1722957.378303009
924,1664028000,19116.7,19091.3,19125.6,19057,125.99008562,2405332.317390403
925,1664028900,19091.4,19116.6,19138.5,19065.9,149.59578179,2858236.635340642
926,1664029800,19116.6,19086.3,19130.7,19082.1,153.00123432,2923752.452703061
